asset_key,recommended_alt,notes
hero_crew_tree,"Crew cutting oak limb over driveway • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
hero_crew_tree,"Crew cutting oak limb over driveway • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
hero_crew_tree,"Crew cutting oak limb over driveway • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
hero_crew_tree,"Crew cutting oak limb over driveway • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
hero_crew_tree,"Crew cutting oak limb over driveway • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
hero_crew_tree,"Crew cutting oak limb over driveway • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
stump_grinder,"Stump grinder removing oak stump • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
bobcat_loader,"Skid-steer moving debris • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
before_after_yard,"Before and after yard cleanup • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
driveway_pavers,"Installing paver driveway • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Tree Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Stump Grinding in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Limb Reductions in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Lawn Maintenance in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Junk Removal in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
storm_response,"Emergency storm cleanup team at night • Concrete Work in Sarasota, FL by Gold Palm Solutions",Keep under 125 chars; describes action + location + brand
